0,number_of_schools
1875 PALMETTO STREET,14
1876 3 AVENUE,20
1879 PUTNAM AVENUE,12
188 2 AVENUE,20
188 BLEECKER STREET,20
188 EAST 64 STREET,20
188 EAST 70 STREET,20
188 EAST 76 STREET,20
188 GREENPOINT AVENUE,6
188 NOLL STREET,8
188 PARKSIDE AVENUE,14
188 SOUTH 8 STREET,20
188 WOODPOINT ROAD,15
1882 3 AVENUE,20
1882 BERGEN STREET,20
1883 AMSTERDAM AVENUE,14
1884 GATES AVENUE,13
1887 HART STREET,10
1888 BERGEN STREET,20
189 AVENUE C,20
189 BEDFORD AVENUE,20
189 MESEROLE AVENUE,7
189 NORMAN AVENUE,9
189 SCHERMERHORN STREET,20
189 STERLING PLACE,20
189 WEST 89 STREET,20
189 YORK STREET,12
189-10 37 AVENUE,11
18A BLEECKER STREET,20
19 CHARLOTTE STREET,7
19 CLINTON STREET,20
19 DOYERS STREET,20
19 EAST 108 STREET,20
19 EAST 21 STREET,20
19 EAST 88 STREET,20
19 GRACE COURT,12
19 LEFFERTS PLACE,20
19 MICIELI PLACE,6
19 MURRAY STREET,20
19 STUYVESANT OVAL,20
19 STUYVESANT STREET,20
19 WEST 103 STREET,19
19 WEST 116 STREET,20
19 WEST 122 STREET,20
19 WEST 123 STREET,20
19 WEST 82 STREET,20
19-03 DITMARS BOULEVARD,4
19-08 81 STREET,2
19-09 22 DRIVE,3
19-14 23 AVENUE,2
19-19 21 ROAD,5
19-19 24 AVENUE,5
19-20 23 AVENUE,3
19-20 24 AVENUE,7
19-20 24 ROAD,6
19-20 76 STREET,3
19-21 DITMARS BOULEVARD,4
19-22 24 ROAD,7
19-24 23 AVENUE,4
19-37 LINDEN STREET,13
19-58 79TH STREET,2
190 72 STREET,9
190 BEACH 69TH STREET,2
190 CLAREMONT AVENUE,20
190 EAST 2 STREET,20
190 FREEMAN STREET,2
190 LEFFERTS PLACE,20
190 NORTH 9 STREET,19
190 SOUTH 1 STREET,20
1900 COLDEN AVENUE,13
1900 LEXINGTON AVENUE,20
1901 DORCHESTER ROAD,7
1901 EAST 19 STREET,20
1902 AVENUE O,20
1906 8 AVENUE,15
1908 3 AVENUE,20
191 23 STREET,9
191 5 AVENUE,19
191 CORNELIA STREET,20
191 DEVOE STREET,20
191 GRAND STREET,20
191 KENT STREET,6
191 MESEROLE STREET,20
191 SUMPTER STREET,19
191 WILLOUGHBY STREET,20
1916 PROSPECT PLACE,20
1917 68 STREET,11
192 AVENUE B,20
192 CLAREMONT AVENUE,20
192 CORNELIA STREET,20
192 EAST 75 STREET,20
192 GREENE AVENUE,20
192 GREENPOINT AVENUE,6
192 HAWTHORNE STREET,13
192 NORTH 6 STREET,20
192-11 JAMAICA AVENUE,8
1920 HARMAN STREET,12
1921 GATES AVENUE,13
1921 PUTNAM AVENUE,12
1923 70 STREET,6
1925 QUENTIN ROAD,20
1926 PACIFIC STREET,20
1928 PACIFIC STREET,20
193 7 AVENUE,20
193 BEDFORD AVENUE,20
193 EAST 7 STREET,20
193 HESTER STREET,20
193 JORALEMON STREET,20
193 LENOX AVENUE,20
1930 BAY RIDGE AVENUE,7
1930 PACIFIC STREET,20
1932 PACIFIC STREET,20
1935 BERGEN STREET,20
1935 GATES AVENUE,13
194 BAY 22 STREET,8
194 BUTLER STREET,20
194 EAST 2ND STREET,20
194 MONTROSE AVENUE,20
194 SCHENECTADY AVENUE,20
1947 OCEAN AVENUE,20
195 BOWERY,20
195 CLASSON AVENUE,16
195 CLINTON STREET,20
195 COURT STREET,20
195 DEKALB AVENUE,19
195 DRIGGS AVENUE,9
195 JOHNSON AVENUE,20
195 MULBERRY STREET,20
195 NORTH 6 STREET,20
195 PRESIDENT STREET,20
195 PRINCE STREET,20
195 QUINCY STREET,20
195 WEST 10 STREET,20
1954 73 STREET,8
1954 UNIONPORT ROAD,6
196 COURT STREET,20
196 ELIZABETH STREET,20
196 GRAHAM AVENUE,20
196 LENOX ROAD,20
196 PROSPECT PARK WEST,10
196 SOUTH 2 STREET,20
196 WEST 10 STREET,20
196 WEST 134 STREET,20
1960 EAST TREMONT AVENUE,15
1965 BERGEN STREET,20
1965 BROADWAY,20
197 AINSLIE STREET,20
197 KANE STREET,20
197 SPENCER STREET,20
1970 EAST TREMONT AVENUE,15
1977 EASTERN PARKWAY,17
198 CALYER STREET,6
198 CLIFTON PLACE,20
198 MAC DOUGAL STREET,18
198 MONITOR STREET,2
198 MONTROSE AVENUE,20
198 SCHOLES STREET,20
198 WEST 10 STREET,20
198-19 47 AVENUE,5
1980 UNIONPORT ROAD,6
1982 LEXINGTON AVENUE,20
199 LEFFERTS AVENUE,14
199 LINDEN BOULEVARD,20
199 STATE STREET,20
1991 BROADWAY,20
2 COENTIES SLIP,20
2 COLUMBUS AVENUE,20
2 COOPER SQUARE,20
2 CORNELIA STREET,20
2 GOLD STREET,20
2 MILLIGAN PLACE,20
2 PIERREPONT PLACE,11
2 RIVER TERRACE,15
2 SOUTH END AVENUE,20
2 ST NICHOLAS TERRACE,20
2 STUYVESANT OVAL,20
2 WEST 16 STREET,20
2-14 50TH AVENUE,7
2-17 51ST AVENUE,5
2-26 50TH AVENUE,5
2-4 CLINTON STREET,20
2-40 51ST AVENUE,5
20 AVENUE A,20
20 BAYARD STREET,20
20 BROADWAY,12
20 BUSHWICK AVENUE,20
20 CLINTON STREET,20
20 COOPER STREET,15
20 DODWORTH STREET,16
20 DONGAN PLACE,14
20 EAST 18 STREET,17
20 EXCHANGE PLACE,20
20 FAIRVIEW PLACE,20
20 HENRY STREET,15
20 JACKSON PLACE,20
20 PINE STREET,20
20 WASHINGTON SQUARE N,20
20 WATERSIDE PLAZA,15
20 WEST 10 STREET,20
20 WEST 12 STREET,20
20 WEST 53RD STREET,20
20 WEST 64 STREET,20
20 WEST 70 STREET,20
20 WEST STREET,20
20-10 23 STREET,3
20-12 29 STREET,5
20-22 23 STREET,5
20-24 31 STREET,5
20-28 27 STREET,6
20-32 31 STREET,5
20-33 38 STREET,5
20-34 HIMROD STREET,12
20-35 46 STREET,1
20-37 27 STREET,7
20-37 49 STREET,3
20-40 31 STREET,2
20-43 33 STREET,5
20-45 32 STREET,5
20-46 31 STREET,5
20-47 41 STREET,6
20-50 29 STREET,7
20-51 36 STREET,7
20-55 31 STREET,7
20-57 32 STREET,5
20-58 29 STREET,7
20-64 31 STREET,7
20-64 45 STREET,6
20-66 48 STREET,5
20-67 STEINWAY STREET,6
200 BOWERY,20
200 CENTRAL PARK SOUTH,17
200 CHAMBERS STREET,20
200 DYCKMAN STREET,14
200 EAST 11TH STREET,20
200 EAST 16 STREET,20
200 EAST 27 STREET,20
200 EAST 32 STREET,20
200 EAST 33RD STREET,20
200 EAST 39 STREET,20
200 EAST 58 STREET,20
200 EAST 61 STREET,20
200 EAST 62 STREET,20
200 EAST 64 STREET,20
200 EAST 66TH STREET,20
200 EAST 71ST STREET,20
200 EAST 72 STREET,20
200 EAST 82 STREET,20
200 EAST 87 STREET,20
200 EAST 89 STREET,20
200 EAST 90 STREET,20
200 EAST 94 STREET,20
200 EAST 95TH ST,20
200 IRVING AVENUE,20
200 LAWRENCE AVENUE,20
200 NORTH END AVENUE,17
200 RECTOR PLACE,20
200 RIVERSIDE BOULEVARD,20
200 SCHOLES STREET,20
200 WATER STREET,20
200 WAVERLY PLACE,20
200 WEST 109 STREET,20
200 WEST 20 STREET,20
200 WEST 58 STREET,17
200 WEST 94TH STREET,20
200 WEST END AVENUE,20
200 WITHERS STREET,14
200-20 32 AVENUE,11
200-210 EAST 65 STREET,20
2000 BROADWAY,20
2001 MC GRAW AVENUE,15
2006 BENSON AVENUE,8
201 CENTRAL PARK NORTH,20
201 COLUMBUS AVENUE,20
201 EAST 35TH STREET,20
201 EAST 36 STREET,20
201 EAST 69 STREET,20
201 EAST 80 STREET,20
201 EAST 87 STREET,20
201 EAST 89TH STREET,20
201 EASTERN PARKWAY,19
201 FRANKLIN STREET,3
201 GATES AVENUE,20
201 MARION STREET,15
201 MONTROSE AVENUE,20
201 PROSPECT PLACE,18
201 WEST 72 STREET,20
201 WEST 77TH STREET,20
201-14 32 AVENUE,11
2010 PALMETTO STREET,11
2010 POWELL AVENUE,12
2013 AVENUE T,14
2016 ALBEMARLE ROAD,20
2016 REGENT PLACE,20
2017 FULTON STREET,20
202 1 AVENUE,20
202 EAST 35 STREET,20
202 MESEROLE STREET,20
202 RIVINGTON STREET,20
202 WEST 81 STREET,20
2020 AVENUE O,19
2020 GRAND CONCOURSE,20
2025 1 AVENUE,15
203 BERKELEY PLACE,20
203 BRIDGE STREET,20
203 COURT STREET,20
203 EAST 121ST STREET,20
203 EAST 4 STREET,20
203 RIVINGTON STREET,20
203 WEST 107 STREET,19
203 WEST 85 STREET,20
2031 OCEAN AVENUE,20
2032 UNION STREET,17
2033 STILLWELL AVENUE,14
2038 5 AVENUE,20
2039 HOMECREST AVENUE,12
204 ADELPHI STREET,20
204 COLUMBIA HEIGHTS,9
204 EAST 112 STREET,20
204 HUNTINGTON STREET,11
204 MONTROSE AVENUE,20
204 WEST 80 STREET,20
204 WEST 98 STREET,20
2046 GATES AVENUE,11
2048 MADISON AVENUE,20
205 71 STREET,10
205 8 AVENUE,20
205 EAST 10 STREET,20
205 EAST 22 STREET,20
205 EAST 59 STREET,20
205 EAST 68 STREET,20
205 EAST 85 STREET,20
205 NORTH 9TH STREET,19
205 SOUTH 1 STREET,20
205 VAN BUREN STREET,20
205 WATER STREET,12
205 WEST 103 STREET,20
205 WEST 107 STREET,20
205 WEST 54 STREET,19
205 WEST 76TH STREET,20
205 WEST 88 STREET,20
2058 EAST 41 STREET,9
206 21 STREET,15
206 61 STREET,5
206 EAST 10 STREET,20
206 EAST 124 STREET,20
206 EAST 13 STREET,20
206 EAST 6 STREET,20
206 EAST 73 STREET,20
206 EAST 87 STREET,20
206 EAST 9 STREET,20
206 EAST 95 STREET,20
206 FRONT STREET,12
206 GREEN STREET,3
206 SCHOLES STREET,20
206 SPENCER STREET,20
206 WEST 79 STREET,20
2060 PACIFIC STREET,20
2063 FREDERICK DOUGLASS BLVD,20
2068 BATH AVENUE,9
207 2 AVENUE,20
207 DE KALB AVENUE,20
207 EAST 29 STREET,20
207 EAST 37 STREET,20
207 MADISON STREET,20
207 MESEROLE STREET,20
207 MONTROSE AVENUE,20
207 NORTH 6 STREET,20
207 OCEAN PARKWAY,16
207 PARK PLACE,20
207 SUMPTER STREET,20
207 WEST 107 STREET,20
207 WEST 11 STREET,20
2070 EAST 13 STREET,12
2075 BEDFORD AVENUE,20
2075 EAST 16 STREET,14
2077 5 AVENUE,20
208 8 AVENUE,19
208 EAST 124 STREET,20
208 EAST 7 STREET,20
208 EAST 82 STREET,20
208 EAST 95 STREET,20
208 EVERGREEN AVENUE,15
208 GRAFTON STREET,20
208 STARR STREET,10
208 WEST 82 STREET,20
209 76 STREET,10
209 GREENE AVENUE,20
209 LINCOLN PLACE,19
209 MALCOLM X BOULEVARD,20
209 PROSPECT AVENUE,19
209 WEST 21 STREET,20
209-211 SOUTH 1 STREET,20
2090 FREDERICK DOUGLASS BLVD,20
2098 FREDERICK DOUGLASS BOULEVARD,20
21 EAST 1 STREET,20
21 EAST 108 STREET,20
21 EAST 43 STREET,12
21 EAST 61ST STREET,19
21 HERKIMER STREET,19
21 HIMROD STREET,18
21 JUDGE STREET,20
21 MAGAW PLACE,16
21 MONTGOMERY PLACE,20
21 MONTROSE AVENUE,20
21 PARK STREET,19
21 SOUTH END AVENUE,20
21 ST PAUL'S COURT,15
21 WEST 127 STREET,20
21 WEST 86 STREET,20
21 WEST END AVENUE,20
21 WEST STREET,20
21-00 35 STREET,9
21-01 29 STREET,9
21-05 25 ROAD,8
21-05 33 AVENUE,9
21-05 33 STREET,9
21-06 30 AVENUE,20
21-07 25 ROAD,7
21-07 STEINWAY STREET,6
21-08 STEINWAY STREET,7
21-12 22 DRIVE,7
21-12 23 STREET,5
21-14 33 STREET,8
21-15 25 ROAD,7
21-15 32 STREET,10
21-15 43 STREET,6
21-16 31 AVENUE,20
21-16 73 STREET,3
21-17 31 AVENUE,20
21-19 27 STREET,8
21-19 AMORY COURT,10
21-21 24 STREET,6
21-22 STEINWAY STREET,7
21-23 33 AVENUE,10
21-23 43 STREET,1
21-24 21 ROAD,5
21-24 30 AVENUE,20
21-25 21 ROAD,5
21-25 43 STREET,5
21-26 21 ROAD,6
21-27 21 ROAD,5
21-28 BROADWAY,14
21-29 31 AVENUE,20
21-31 32 STREET,11
21-34 43 STREET,5
21-37 33 AVENUE,10
21-39 29 STREET,10
21-39 32 STREET,10
21-41 28 STREET,10
21-45 28 STREET,10
21-46 29 STREET,10
21-55 27 STREET,10
21-57 33 STREET,9
21-57 78 STREET,2
21-61 28 STREET,10
21-61 79 STREET,2
21-63 41 STREET,6
21-65 79 STREET,2
21-68 31 STREET,11
21-68 41 STREET,6
21-69 STEINWAY STREET,6
21-73 28 STREET,10
210 26 STREET,7
210 CALYER STREET,6
210 DAHILL ROAD,12
210 EAST 15 STREET,20
210 EAST 38 STREET,20
210 EAST 47 STREET,20
210 EAST 68 STREET,20
210 GATES AVENUE,20
210 MALCOLM X BOULEVARD,20
210 MARINE AVENUE,7
210 SOUTH 1 STREET,20
210 THOMPSON STREET,20
210 WEST 10 STREET,20
210 WEST 107 STREET,19
210 WEST 19 STREET,20
210 WEST 70 STREET,20
2100 BEDFORD AVENUE,20
2101 5 AVENUE,20
2101 ALBEMARLE ROAD,20
2101 FREDERICK DOUGLASS BOULEVARD,20
2102 BEVERLY ROAD,20
2104 82 STREET,12
2106 82 STREET,12
2109 BROADWAY,20
211 BEACH 96 STREET,6
211 CLINTON STREET,20
211 EAST 13TH STREET,20
211 EAST 14 STREET,20
211 EAST 34 STREET,20
211 EAST 51 STREET,20
211 EAST 53 STREET,20
211 EAST 70 STREET,20
211 EAST BROADWAY,20
211 NASSAU AVENUE,4
211 NORTH END AVENUE,15
211 PRESIDENT STREET,20
211 ST NICHOLAS AVENUE,14
211 WEST 123 STREET,20
211 WEST 14 STREET,20
211 WEST 252 STREET,5
211 WEST 56TH STREET,9
2110 FREDERICK DOUGLASS BLVD,20
2110 NEWKIRK AVENUE,9
2111 BEEKMAN PLACE,8
2111 FOSTER AVENUE,11
2115 60 STREET,16
2116 76 STREET,17
2116 DORCHESTER ROAD,7
212 5 AVENUE,20
212 EAST 10 STREET,20
212 EAST 35 STREET,20
212 EAST 47 STREET,20
212 EAST 57 STREET,20
212 EAST 84 STREET,20
212 EAST 88 STREET,20
212 EAST 95 STREET,20
212 FRANKLIN STREET,3
212 HIMROD STREET,20
212 NORTH 9 STREET,20
212 STARR STREET,10
212 WARREN STREET,15
212 WEST 14 STREET,20
212 WEST 20 STREET,20
212 WEST 79 STREET,20
212 WEST 91ST STREET,20
2121-2125 FOSTER AVENUE,10
2129 PITKIN AVENUE,20
213 61 STREET,5
213 BENNETT AVENUE,20
213 EAST 25 STREET,20
213 EAST 31 STREET,20
213 EAST BROADWAY,20
213 EASTERN PARKWAY,17
213 PROSPECT AVENUE,19
213 WEST 18 STREET,20
213 WEST 21 STREET,20
213 WEST 238 STREET,10
213 WYCKOFF AVENUE,20
2130 ADAM CLAYTON POWELL BLVD,20
2135 HOMECREST AVENUE,7
2136 2 AVENUE,20
214 23 STREET,9
214 3 AVENUE,20
214 DEVOE STREET,20
214 EAST 32 STREET,20
214 EAST 35 STREET,20
214 EAST 8 STREET,19
214 NORTH 11 STREET,20
214 WALWORTH STREET,20
214 WEIRFIELD STREET,20
2140 BARNES AVENUE,17
2143 ADAM C POWELL BLVD,20
2143 BLEECKER STREET,9
2147 2 AVENUE,20
2147 EAST 17 STREET,10
215 13 STREET,16
215 AVENUE A,20
215 EAST 48 STREET,20
215 EAST 68 STREET,20
215 EAST 8 STREET,19
215 EAST 80 STREET,20
215 EAST 81 STREET,20
215 EAST 86 STREET,20
215 EAST 88 STREET,20
215 EAST 96 STREET,20
215 FRANKLIN STREET,2
215 FREEMAN STREET,2
215 MARTENSE STREET,20
215 MAUJER STREET,20
215 NASSAU AVENUE,4
215 STERLING STREET,13
215 SULLIVAN STREET,20
215 WEST 108 STREET,20
215 WEST 11 STREET,20
215 WEST 136 STREET,20
215 WEST 75 STREET,20
215 WEST 83 STREET,20
215 WEST 95 STREET,20
2156 2 AVENUE,20
2157 EAST 69 STREET,9
216 6 AVENUE,20
216 7 STREET,13
216 BRADHURST AVENUE,15
216 DEVOE STREET,20
216 FLATBUSH AVENUE,20
216 SOUTH 2 STREET,20
216 WEST 78 STREET,20
216 WEST 89TH STREET,20
216-218 EAST 47 STREET,20
2161 FREDERICK DOUGLASS BLVD,20
2162 FREDERICK DOUGLASS BLVD,20
2167 3 AVENUE,20
217 7 AVENUE,20
217 88 STREET,16
217 AVENUE A,20
217 BOWERY,20
217 COURT STREET,20
217 EAST 29 STREET,20
217 EAST 86 STREET,20
217 MOTT STREET,20
217 OCEAN AVENUE,6
217 STUYVESANT AVENUE,20
217 THOMAS S BOYLAND STREET,20
217 VAN BRUNT STREET,13
217 WEST 14 STREET,20
217 WEST 62 STREET,20
218 25 STREET,6
218 62 STREET,5
218 EAST 12 STREET,20
218 FROST STREET,10
218 HAWTHORNE STREET,15
218 MYRTLE AVENUE,20
218 NEW YORK AVENUE,8
218 WALWORTH STREET,20
218 WEST 104 STREET,20
2186 5 AVENUE,20
219 92 STREET,14
219 AVENUE A,20
219 BEDFORD AVENUE,20
219 CLERMONT AVENUE,19
219 DE GRAW STREET,20
219 EAST 10 STREET,20
219 EAST 30 STREET,20
219 WEST 106 STREET,19
219 WEST 15 STREET,20
219 WEST 80 STREET,20
219 WEST 81ST STREET,20
2194 3 AVENUE,20
22 3 STREET,12
22 CORNELIA STREET,20
22 FAYETTE STREET,18
22 MELROSE STREET,19
22 NORTH 6 STREET,16
22 ST NICHOLAS PLACE,18
22 WEIRFIELD STREET,15
22 WEST 15 STREET,20
22 WEST 66 STREET,20
22 WEST 83 STREET,20
22-01 STEINWAY STREET,6
22-02 HIMROD STREET,9
22-11 STEINWAY STREET,6
22-12 23 STREET,5
22-14 49 STREET,5
22-14 STEINWAY STREET,6
22-17 74 STREET,4
22-18 28 STREET,9
22-18 41 STREET,6
22-18 47 STREET,3
22-19 41 STREET,6
22-19 49 STREET,5
22-25 49 STREET,5
22-26 76 STREET,5
22-28 27 STREET,9
22-28 77 STREET,3
22-31 47 STREET,4
22-32 24 STREET,7
22-32 STEINWAY STREET,7
22-33 35 STREET,9
22-35 38 STREET,8
22-36 35 STREET,8
22-37 35 STREET,9
22-42 74 STREET,5
22-44 STEINWAY STREET,8
22-48 29 STREET,10
22-48 78 STREET,4
22-54 47 STREET,3
22-55 33 STREET,8
22-55 41 STREET,4
22-57 37 STREET,9
22-58 27 STREET,9
22-58 78 STREET,4
22-60 27 STREET,9
22-63 38 STREET,8
22-69 28 STREET,9
22-77 STEINWAY STREET,6
22-79 STEINWAY STREET,6
220 72 STREET,11
220 EAST 24 STREET,20
220 EAST 57 STREET,20
220 EAST 63 STREET,20
220 EAST 65 STREET,20
220 EAST 74 STREET,20
220 FRONT STREET,20
220 HIMROD STREET,20
220 MONTAUK AVENUE,19
220 NORTH 10 STREET,19
220 NORTH 9 STREET,20
220 RIVERSIDE BOULEVARD,20
220 VERNON AVENUE,20
220 WADSWORTH AVENUE,20
220 WATER STREET,13
220 WEST 107 STREET,19
220 WEST 148TH STREET,14
220 WEST 24 STREET,20
220 WEST 93 STREET,20
2205 3 AVENUE,20
221 AVENUE B,20
221 BAY 44 STREET,11
221 EAST 35 STREET,20
221 EAST 82 STREET,20
221 FOSTER AVENUE,20
221 MALCOLM X BOULEVARD,20
221 SEAMAN AVENUE,12
221 ST JAMES PLACE,20
221 TROUTMAN STREET,11
221 WADSWORTH AVENUE,20
221 WEST 12 STREET,20
2211 3 AVENUE,20
2211 DITMAS AVENUE,10
2215 NEWKIRK AVENUE,10
2217 CATON AVENUE,20
222 COLUMBIA STREET,11
222 EAST 17 STREET,20
222 EAST 39TH STREET,20
222 EAST 61 STREET,20
222 EAST 67 STREET,20
222 EAST 80 STREET,20
222 METROPOLITAN AVENUE,20
222 PARK PLACE,20
222 PULASKI STREET,20
222 WEST 116 STREET,20
222 WEST 14 STREET,20
2222 EAST 18 STREET,11
2225 DITMAS AVENUE,10
2228 AMSTERDAM AVENUE,20
223 2 AVENUE,20
223 DEAN STREET,20
223 DEVOE STREET,20
223 EAST 111 STREET,20
223 EAST 12 STREET,20
223 EAST 74 STREET,20
223 EAST 80 STREET,20
223 EAST 85 STREET,20
223 EAST 94 STREET,20
223 NORTH 8 STREET,20
223 SOUTH 3 STREET,20
223 SULLIVAN STREET,20
223 WEST 13 STREET,20
223 WEST 135 STREET,20
2231 ADAM CLAYTON POWELL JR BOULEVARD,20
2233 OCEAN AVENUE,20
224 1 AVENUE,20
224 EAST 21 STREET,20
224 EAST 27 STREET,20
224 EAST 52 STREET,20
224 EAST 85 STREET,20
224 MULBERRY STREET,20
224 PARK AVENUE SOUTH,20
224 RICHMOND TERRACE,4
224 VERNON AVENUE,20
224 WEST 18 STREET,20
224-03 59 AVENUE,2
224-10 JAMAICA AVENUE,4
225 5TH AVENUE,20
225 89 STREET,16
225 EAST 138 STREET,20
225 EAST 19TH STREET,20
225 EAST 28 STREET,20
225 EAST 34 STREET,20
225 EAST 46 STREET,20
225 EAST 47 STREET,20
225 EAST 57 STREET,20
225 EAST 6 STREET,20
225 EAST 83 STREET,20
225 EAST 86 STREET,20
225 EASTERN PARKWAY,18
225 FOSTER AVENUE,20
225 MADISON STREET,20
225 NORTH 9 STREET,19
225 RECTOR PLACE,20
225 SCHERMERHORN STREET,20
225 STERLING PLACE,16
225 WEST 60 STREET,20
225 WEST 83 STREET,20
225-03 59 AVENUE,3
2250 BROADWAY,20
2259 ADAM C POWELL BLVD,20
226 4 AVENUE,19
226 EAST 18 STREET,20
226 EAST 29 STREET,20
226 EAST 3 STREET,20
226 EAST 53 STREET,20
226 EAST 59 STREET,20
226 EAST 85 STREET,20
226 LAFAYETTE STREET,20
2265 GERRITSEN AVENUE,8
2267 EAST 26 STREET,15
227 12TH STREET,14
227 CLARKSON AVENUE,18
227 EAST 11 STREET,20
227 EAST 2 STREET,20
227 EAST 5 STREET,20
227 EAST 57 STREET,20
227 EAST 7 STREET,15
227 FROST STREET,10
227 HANCOCK STREET,19
227 LEXINGTON AVENUE,20
227 MARION STREET,17
227 MONROE STREET,19
227 MULBERRY STREET,20
227 TROY AVENUE,20
227 W 77TH STREET,20
227 WEST 105 STREET,20
227 WEST 109 STREET,20
227 WEST 16 STREET,20
227 WYCKOFF AVENUE,20
2279 EAST 27 STREET,16
2279 PACIFIC STREET,20
228 CLINTON STREET,20
228 EAST 75 STREET,20
228 EAST 81 STREET,20
228 WARREN STREET,20
228 WEST 71 STREET,20
2280 FREDERICK DOUGLASS BLVD,20
2288 ATLANTIC AVENUE,20
229 88 STREET,16
229 CHRYSTIE STREET,20
229 EAST 10 STREET,20
229 EAST 11 STREET,20
229 EAST 115 STREET,20
229 EAST 12 STREET,20
229 EAST 13 STREET,20
229 EAST 24 STREET,20
229 EAST 28 STREET,20
229 EAST 29 STREET,20
229 EAST 53 STREET,20
229 EAST 67 STREET,20
229 HENRY STREET,20
229 SEAMAN AVENUE,13
229 WEST 116 STREET,20
229 WEST 20 STREET,20
229 WEST 60 STREET,20
229 WYCKOFF AVENUE,20
229 WYCKOFF STREET,20
2290 DR M L KING JR BLVD,20
2295 PACIFIC STREET,20
2296 FREDERICK DOUGLASS BLVD,20
23 AVENUE A,20
23 EAST 22 STREET,20
23 FILLMORE PLACE,20
23 FROST STREET,20
23 GABRIEL DRIVE,3
23 KING STREET,20
23 LEROY STREET,20
23 MESEROLE STREET,20
23 NEWEL STREET,12
23 WEST 116 STREET,20
23 WEST 56 STREET,19
23 WEST 82 STREET,20
23-01 21 AVENUE,5
23-01 30 DRIVE,20
23-02 29 AVENUE,19
23-14 BROADWAY,19
23-15 ASTORIA BOULEVARD,12
23-16 BROADWAY,19
23-17 28 AVENUE,16
23-17 29 STREET,9
23-17 38 STREET,6
23-17 BROADWAY,19
23-18 BROADWAY,19
23-19 21 STREET,5
23-19 35 STREET,8
23-20 30 DRIVE,20
23-21 31 AVENUE,20
23-23 29 AVENUE,18
23-27 21 STREET,6
23-29 21 STREET,6
23-30 28 STREET,11
23-30 37 STREET,8
23-31 21 STREET,5
23-33 30 AVENUE,20
23-33 31 ROAD,20
23-36 31 AVENUE,20
23-36 31 DRIVE,19
23-38 30 DRIVE,20
23-38 33 STREET,7
23-40 38 STREET,6
23-41 33 STREET,7
23-42 33 AVENUE,20
23-43 35 STREET,8
23-44 24 STREET,8
23-44 37 STREET,6
23-46 29 STREET,8
23-46 33 AVENUE,20
23-49 33 AVENUE,18
23-50 38 STREET,6
23-56 28 STREET,10
23-56 36 STREET,7
23-67 CRESCENT STREET,11
23-68 35 STREET,7
23-69 28 STREET,10
23-69 38 STREET,6
23-70 23 STREET,7
23-70 32 STREET,7
23-85 28 STREET,12
23-86 23 STREET,7
23-90 32 STREET,7
23-92 24 STREET,7
23-92-23-92A 37 STREET,6
230 ASHLAND PLACE,20
230 CENTRAL PARK SOUTH,19
230 CENTRAL PARK WEST,20
230 EAST 124 STREET,20
230 EAST 27 STREET,20
230 EAST 30 STREET,20
230 EAST 79 STREET,20
230 EAST 81 STREET,20
230 RIVERSIDE DRIVE,20
230 SMITH STREET,18
230 UNION STREET,20
230 WEST 107 STREET,20
230 WEST 16 STREET,20
230 WEST 55 STREET,20
230 WEST 56 STREET,20
230 WEST 79 STREET,20
2305 ADAM C POWELL BLVD,20
231 10 AVENUE,19
231 EAST 58 STREET,20
231 FROST STREET,10
231 WEST 137 STREET,20
231 WEST 25 STREET,20
2316 BEDFORD AVENUE,20
2318 BEDFORD AVENUE,20
232 8 AVENUE,20
232 92 STREET,15
232 ADELPHI STREET,19
232 EAST 26 STREET,20
232 EAST 95 STREET,20
232 LEXINGTON AVENUE,20
232 POWERS STREET,20
2325 FOSTER AVENUE,14
2326 2 AVENUE,20
233 56 STREET,6
233 BAY 22 STREET,6
233 BAY 7 STREET,3
233 MAUJER STREET,20
233 SCHERMERHORN STREET ,20
233 WEST 21ST STREET,20
233 WEST 233 STREET,11
2330 HOFFMAN STREET,20
2330 VOORHIES AVENUE,4
234 26 STREET,6
234 AINSLIE STREET,20
234 EAST 23 STREET,20
234 EAST 33 STREET,20
234 EAST 50 STREET,20
234 EAST 70 STREET,20
234 EAST 81 STREET,20
234 SKILLMAN AVE,16
234 WEST 135 STREET,20
234 WEST 148 STREET,16
2345 OCEAN AVENUE,18
235 73 STREET,11
235 74 STREET,12
235 COVERT STREET,17
235 CUMBERLAND STREET,16
235 EAST 111 STREET,20
235 EAST 35 STREET,20
235 EAST 40 STREET,20
235 EAST 44 STREET,20
235 EAST 46 STREET,20
235 JEFFERSON AVENUE,19
235 LENOX AVENUE,20
235 SEAMAN AVENUE,13
235 SOUTH 4 STREET,20
235 WEST 100 STREET,20
235 WEST 146 STREET,18
235 WEST 15 STREET,20
235 WEST 16 STREET,20
235 WEST 18 STREET,20
235 WEST 48 STREET,20
235 WEST 56 STREET,20
235 WEST 70 STREET,20
235 WEST 71 STREET,20
235 WEST END AVENUE,20
2351 82 STREET,20
236 8 STREET,12
236 AINSLIE STREET,20
236 EAST 13 STREET,20
236 EAST 36 STREET,20
236 EAST 47 STREET,20
236 EAST 78 STREET,20
236 ELIZABETH STREET,20
236 HENRY STREET,17
236 MOORE STREET,15
236 STAGG STREET,20
237 8 AVENUE,20
237 CARROLL STREET,20
237 EAST 111TH STREET,20
237 EAST 2 STREET,20
