0,number_of_schools
1111 DEKALB AVENUE,20
1113 YORK AVENUE,13
1116 NOSTRAND AVENUE,19
1117 JEFFERSON AVENUE,19
1119 NOSTRAND AVENUE,20
1119 OCEAN PARKWAY,20
112 CLAY STREET,2
112 EAST 103 STREET,20
112 EAST 36 STREET,20
112 HALL STREET,14
112 HIMROD STREET,20
112 LAFAYETTE AVENUE,20
112 LEXINGTON AVENUE,20
112 MADISON STREET,20
112 MULBERRY STREET,20
112 PROSPECT PLACE,20
112 WEST 72 STREET,20
112-01 QUEENS BOULEVARD,12
112-15 72 ROAD,3
112-16 QUEENS BOULEVARD ,13
112-18 QUEENS BOULEVARD,13
1120 76 STREET,9
1120 BERGEN STREET,16
1122 CHESTNUT AVENUE,20
1124 BEDFORD AVENUE,20
1125 LORIMER STREET,5
113 BUTLER STREET,20
113 CEDAR STREET,20
113 EAST 102 STREET,20
113 GRAHAM AVENUE,20
113 MALCOLM X BOULEVARD,20
113 MULBERRY STREET,20
113 NASSAU STREET,20
113 NEWEL STREET,10
113 RICHARDSON STREET,16
113 SOUTH 6 STREET,20
1130 1 AVENUE,18
1130 BERGEN STREET,16
1131 PRESIDENT STREET,20
1132 1 AVENUE,18
1134 1 AVENUE,19
1135 ST MARK'S AVENUE,20
1136 BUSHWICK AVENUE,14
1137 GREENE AVENUE,16
1138 GATES AVENUE,20
114 ALBEMARLE ROAD,11
114 CALYER STREET,8
114 EAST 1 STREET,20
114 EAST 27 STREET,20
114 EAST 28 STREET,20
114 EAST 37 STREET,20
114 EAST 4 STREET,20
114 EAST 40 STREET,20
114 MANHATTAN AVENUE,20
114 RIDGE STREET,20
114 ST MARKS PLACE,20
114 SUFFOLK STREET,20
114 TROUTMAN STREET,12
114 WALTON STREET,20
114 WEST 127 STREET,20
114 WEST 238 STREET,7
114 WEST 86 STREET,20
114 WYCKOFF STREET,20
1140 EAST 98 STREET,18
1140 ST JOHN'S PLACE,20
1141 EAST 86 STREET,8
1141 GREENE AVENUE,17
1144 BERGEN STREET,16
1144 BUSHWICK AVENUE,14
1146 2 AVENUE,20
115 1 AVENUE,20
115 EAST 9 STREET,20
115 MULBERRY STREET,20
115 QUINCY STREET,20
115 SOUTH 2 STREET,20
115 ST MARK'S PLACE,20
115 VANDERVEER STREET,13
115 WEST 57 STREET,12
115 WEST 71 STREET,20
115 WEST 74 STREET,20
1150 BRIGHTON BEACH AVE,6
1150 EASTERN PARKWAY,20
1151 DEAN STREET,17
1151 ROGERS AVENUE,11
1152 LAFAYETTE AVENUE,20
1153 PRESIDENT STREET,9
1154 GATES AVENUE,19
1159 GATES AVENUE,20
116 AVENUE C,20
116 CENTRAL PARK SOUTH,12
116 JOHN STREET,20
116 SEIGEL STREET,20
116 SOUTH 1 STREET,20
116 SULLIVAN STREET,20
116 WEST 124 STREET,20
116 WEST 69 STREET,20
116 WYCKOFF STREET,20
116-12 OCEAN PROMENADE,6
1165 PARK AVENUE,20
1166 HALSEY STREET,20
1167 DEAN STREET,17
1167 MYRTLE AVENUE,20
1169 OCEAN AVENUE,12
117 4 PLACE,16
117 BEEKMAN STREET,20
117 KINGSLAND AVENUE,11
117 LEONARD STREET,20
117 LINDEN STREET,20
117 MILTON STREET,4
117 PULASKI STREET,20
117 ROEBLING STREET,20
117 STATE STREET,20
117 VARICK STREET,19
117 WEST 13 STREET,20
117 WEST 15 STREET,20
1170 OCEAN AVENUE,10
1175 YORK AVENUE,16
1177 BEDFORD AVENUE,18
118 CALYER STREET,8
118 EAST 103 STREET,20
118 EAST 31 STREET,20
118 EAST 4 STREET,20
118 EAST 93 STREET,20
118 SPRING STREET,20
118 WEST 73 STREET,20
118-17 UNION TURNPIKE,7
118-35 METROPOLITAN AVENUE,8
1182 BROADWAY,20
1183 GATES AVENUE,20
1188 BEDFORD AVENUE,19
119 3 PLACE,15
119 EAST 96 STREET,20
119 FULTON STREET,20
119 LEXINGTON AVENUE,20
119 NOBLE STREET,5
119 PAYSON AVENUE,9
119 ST MARK'S PLACE,20
119 WEST 22 STREET,20
119-20 UNION TURNPIKE,8
119-49 UNION TURNPIKE,7
1191 OCEAN AVENUE,11
1195 ST MARK'S AVENUE,20
1195 UNION STREET,20
1198 CARROLL STREET,17
1198 NOSTRAND AVENUE,20
11A AGATE COURT,20
11A PLEASANT PLACE,20
12 EAST 22 STREET,20
12 FORD STREET,20
12 STAGG STREET,20
12 STUYVESANT OVAL,20
12 UNDERHILL AVENUE,19
12 WEST 72 STREET,20
12-01 JACKSON AVENUE,9
12-15 BROADWAY,9
12-17 31 DRIVE,10
12-26 30 AVENUE,16
120 BEACH 26 STREET,2
120 BERKELEY PLACE,20
120 CENTRAL PARK SOUTH,11
120 EAST 4 STREET,20
120 EAST 87 STREET,20
120 ECKFORD STREET,12
120 GATES AVENUE,20
120 GRATTAN STREET,9
120 KENILWORTH PLACE,12
120 MAC DOUGAL STREET,20
120 REMSEN STREET,20
120 RIVERSIDE BOULEVARD,20
120 SUFFOLK STREET,20
120 SULLIVAN STREET,20
120 WEST 21 STREET,20
120 WEST 23 STREET,20
120 WEST 58 STREET,13
1200 HALSEY STREET,20
1200 NOSTRAND AVENUE,20
1200 WOODYCREST AVENUE,16
1202 AVENUE K,20
1203 65 STREET,14
121 AVENUE A,20
121 BAXTER STREET,20
121 CARROLL STREET,15
121 EAST 23 STREET,20
121 EAST 31 STREET,20
121 LAFAYETTE AVENUE,20
121 NORTH 11 STREET,18
121 WEST 122 STREET,20
121 WOODBINE STREET,20
1211 HERKIMER STREET,20
1212 5 AVENUE,20
1213 ROGERS AVENUE,9
1214 FIFTH AVENUE,20
1215 AVENUE M,20
122 BAY RIDGE AVENUE,7
122 BOERUM STREET,20
122 CENTRAL AVENUE,12
122 EAST 103 STREET,20
122 EAST 13 STREET,20
122 GREENWICH AVENUE,20
122 HIGHLAWN AVENUE,17
122 VANDERBILT AVENUE,16
122 WEST STREET,4
122-04 METROPOLITAN AVENUE,8
1221 NOSTRAND AVENUE,20
1222 AVENUE Y,5
1222 EAST 72 STREET,5
1223 BUSHWICK AVENUE,20
1225 1 AVENUE,20
1225 AVENUE R,20
1226 BEDFORD AVENUE,20
1226 LINCOLN PLACE,20
123 EAST 88 STREET,20
123 GUERNSEY STREET,12
123 KENT AVENUE,18
123 LEXINGTON AVENUE,20
123 PARKSIDE AVENUE,14
123 WASHINGTON STREET,20
123 WAVERLY PLACE,20
123 WEST 131 STREET,20
123-05 82 ROAD,8
123-16 83 AVENUE,9
123-20 82 AVENUE,8
123-30 83 AVENUE,8
123-33 83 AVENUE,9
123-60 83 AVENUE,7
1230 BUSHWICK AVENUE,16
1231 HALSEY STREET,19
1232 OCEAN AVENUE,11
1233 DEAN STREET,19
1235 BROADWAY,20
1236 BEDFORD AVENUE,20
1238 2 AVENUE,20
1238 PRESIDENT STREET,18
124 EAST 103 STREET,20
124 EAST 107 STREET,20
124 EAST 37 STREET,20
124 KANE STREET,15
124 SOUTH 3RD STREET,19
124 SUMPTER STREET,20
124 WEST 23RD STREET,20
124 WEST 24 STREET,20
124 WEST 60 STREET,20
124 WYCKOFF AVENUE,15
124-01 METROPOLITAN AVENUE,9
124-15 25 ROAD,4
1240 DEAN STREET,20
1240 EAST 7 STREET,20
1245 DEAN STREET,19
1245 HALSEY STREET,17
1246 BUSHWICK AVENUE,14
1247 MYRTLE AVENUE,18
1249 DEAN STREET,20
125 1 AVENUE,20
125 96 STREET,7
125 COURT STREET,20
125 EAST 71 STREET,20
125 EAST 82 STREET,20
125 EAST 87 STREET,20
125 ELIZABETH STREET,20
125 GRAHAM AVENUE,20
125 HAWTHORNE STREET,13
125 LEFFERTS PLACE,20
125 LEONARD STREET,20
125 NORTH 10TH STREET,19
125 ORCHARD STREET,20
125 PARKSIDE AVENUE,14
125 STERLING STREET,10
125 WEST 21 STREET,20
125 WEST 22 STREET,20
125 WEST 77 STREET,20
125-10 QUEENS BOULEVARD,7
125-16 83 DRIVE,9
1252 EAST 19 STREET,20
1255 BUSHWICK AVENUE,15
1255 EAST 19 STREET,17
1256 OCEAN AVENUE,11
1257 PARK AVENUE,20
1259 FINDLAY AVENUE,18
1259 PARK AVENUE,20
126 1 PLACE,18
126 BAINBRIDGE STREET,18
126 BERKELEY PLACE,20
126 CHAMBERS STREET,20
126 EAST 103 STREET,20
126 EAST 83 STREET,20
126 KANE STREET,15
126 MESEROLE AVENUE,10
126 MOFFAT STREET,15
126 WINTHROP STREET,11
1260 BROADWAY,20
1261 HERKIMER STREET,20
1261 MADISON STREET,20
1263 HERKIMER STREET,20
1263 PUTNAM AVENUE,20
1265 BAY RIDGE PARKWAY,8
1268 DECATUR STREET,12
1269 HERKIMER STREET,20
127 GRAHAM AVENUE,20
127 GRAND STREET,20
127 MONTROSE AVENUE,20
127 ROGERS AVENUE,16
127 ST FELIX STREET,20
1270 1 AVENUE,20
1270 EAST 19 STREET,20
1271 DECATUR STREET,11
128 FRANKLIN STREET,4
128 LAFAYETTE AVENUE,19
128 MARINE AVENUE,8
128 MONTAGUE STREET,20
128 RUTLAND ROAD,13
128 ST MARK'S PLACE,20
128 WEST 13 STREET,20
128 WEST 138 STREET,20
128 WEST 75 STREET,20
128 WYTHE AVE,20
1280 5 AVENUE,20
1284 84 STREET,9
1285 HANCOCK STREET,20
1286 PUTNAM AVENUE,20
1287 EAST 19 STREET,20
1287-1299 PROSPECT AVENUE,8
129 AVENUE D,20
129 EAST 61 STREET,20
129 GRAND STREET,20
129 JEFFERSON AVENUE,19
